# min_rtt	max_rtt	avg_skew	avg_err	max_err
0	100	4.4733930809643185	128.76203497519867	325
100	200	10.046323303909542	207.4721088458051	447
200	300	13.299994333031094	286.3931249666649	590
300	400	15.623543255640302	365.9772069510374	686
400	500	18.35418755666969	443.94518190970183	840
500	600	20.162510833911142	523.0608509120486	920
600	700	21.62755030268281	603.732363892741	1050
700	800	24.364648614592777	683.1466299869327	1160
800	900	25.919857725745374	760.1964256427009	1289
900	1000	28.391611219265027	839.0296394141021	1418
